Nombre de parada,Código de parada,Identificador de ruta,Sentido,Destino,Tiempo medio de paso en laborables [min],Tiempo medio de paso en viernes [min],Tiempo medio de paso en sábados [min],Tiempo medio de paso en festivos [min],Tiempo medio de paso semanal [min]
Campana (Sierpes),1,27,0.0,PLAZA DEL DUQUE,8.181102362204724,8.181102362204724,9.12280701754386,12.844155844155843,8.981782096103332
Campana (Sierpes),1,27,1.0,SEVILLA ESTE,8.34959349593496,8.34959349593496,9.20353982300885,12.844155844155843,9.113666163834214
Menéndez Pelayo (Puerta Carmona),2,1,1.0,HOSPITAL V.ROCIO,9.265486725663717,9.265486725663717,19.39814814814815,17.051724137931036,11.825329416342539
Menéndez Pelayo (Puerta Carmona),2,21,0.0,PLAZA DE ARMAS,13.289473684210526,13.289473684210526,15.605128205128205,16.75438596491228,14.11526894158473
Menéndez Pelayo (Puerta Carmona),2,83,1.0,PRADO           ,7.902255639097745,7.902255639097745,15.065714285714286,12.3825,9.565641783029
Menéndez Pelayo (Puerta Carmona),2,101,0.0,PRADO           ,60.0,28.345454545454547,28.345454545454547,60.0,50.95584415584416
Menéndez Pelayo (Puerta Carmona),2,103,0.0,PRADO           ,60.0,28.386363636363637,28.386363636363637,60.0,50.967532467532465
Menéndez Pelayo (Puerta Carmona),2,110,0.0,PRADO           ,60.0,27.944444444444446,36.05555555555556,60.0,52.0
Menéndez Pelayo (Puerta de La Carne),3,1,1.0,HOSPITAL V.ROCIO,9.265486725663717,9.265486725663717,19.40277777777778,17.051724137931036,11.825990792003916
Menéndez Pelayo (Puerta de La Carne),3,21,0.0,PLAZA DE ARMAS,13.289473684210526,13.289473684210526,15.61025641025641,16.75438596491228,14.116001542317333
Menéndez Pelayo (Puerta de La Carne),3,83,1.0,PRADO           ,7.902255639097745,7.902255639097745,15.06857142857143,12.385,9.56640708915145
Menéndez Pelayo (Puerta de La Carne),3,101,0.0,PRADO           ,60.0,28.290909090909093,28.290909090909093,60.0,50.94025974025975
Menéndez Pelayo (Puerta de La Carne),3,110,0.0,PRADO           ,60.0,27.901851851851852,36.012962962962966,60.0,51.98783068783069
Menéndez Pelayo (Juzgados),4,5,0.0,PUERTA TRIANA,11.629213483146067,11.629213483146067,17.333333333333332,17.8,13.325628678437667
Menéndez Pelayo (Juzgados),4,21,0.0,PLAZA DE ARMAS,13.289473684210526,13.289473684210526,15.615384615384615,16.75438596491228,14.11673414304993
Menéndez Pelayo (Juzgados),4,101,0.0,PRADO           ,60.0,28.236363636363638,28.236363636363638,60.0,50.92467532467533
Menéndez Pelayo (Juzgados),4,103,0.0,PRADO           ,60.0,28.25,28.25,60.0,50.92857142857143
Menéndez Pelayo (Juzgados),4,104,0.0,PRADO           ,60.0,31.956666666666667,31.956666666666667,60.0,51.98761904761904
Menéndez Pelayo (Juzgados),4,110,0.0,PRADO           ,60.0,27.81851851851852,35.92962962962963,60.0,51.96402116402117
Avda. María Luisa (Teatro Lope de Vega),5,34,1.0,LOS BERMEJALES,10.336633663366337,10.336633663366337,16.970833333333335,21.195652173913043,12.835664832011151
Avda. María Luisa (Teatro Lope de Vega),5,81,0.0,CARTUJA         ,7.0,7.0,12.76829268292683,13.724305555555556,8.78465689121177
Avda. María Luisa (Teatro Lope de Vega),5,107,1.0,PLAZA DUQUE,60.0,33.27037037037037,33.27037037037037,60.0,52.36296296296296
Plaza del Duque (La Campana),7,32,0.0,PLAZA DEL DUQUE,8.333333333333334,8.333333333333334,11.370786516853933,14.348484848484848,9.62656257600078
Plaza del Duque (La Campana),7,32,1.0,POLIGONO SUR,8.45,8.45,11.466666666666667,14.46268656716418,9.739907604832979
Calatrava (Alameda de Hércules),8,13,0.0,PLAZA DEL  DUQUE,7.1517730496453895,7.1517730496453895,9.577142857142857,14.896875,8.6046975864814
Calatrava (Alameda de Hércules),8,14,0.0,PLAZA DEL DUQUE,14.678571428571427,14.678571428571427,17.116666666666667,20.84782608695652,15.908192842354334
Calatrava (Alameda de Hércules),8,107,1.0,PLAZA DUQUE,60.0,80.63333333333334,80.63333333333334,60.0,65.8952380952381
Plaza Ponce de León,9,32,1.0,POLIGONO SUR,8.458333333333334,8.458333333333334,11.477777777777778,14.477611940298509,9.749579483534708
Pagés del Corro (Troya),10,83,0.0,BARQUETA       ,8.196428571428571,8.196428571428571,15.23700980392157,12.367083333333333,9.798033713485394
San Jorge (Altozano),12,43,0.0,SAN PABLO      ,14.614285714285716,14.614285714285716,14.797101449275363,16.271186440677965,14.877102351625988
Castilla (Procurador),13,43,0.0,SAN PABLO      ,14.607142857142858,14.607142857142858,14.797101449275363,16.271186440677965,14.872000310809659
Navarra (Larache),14,3,1.0,PINO MONTANO,11.955555555555556,11.955555555555556,19.592592592592595,22.94341085271318,14.61625446044051
Torneo (Baños),15,6,0.0,SAN LAZARO,10.911290322580644,10.911290322580644,19.28930817610063,21.545454545454547,13.627316333494056
Torneo (Baños),15,83,0.0,BARQUETA       ,8.21031746031746,8.21031746031746,15.286764705882353,12.38125,9.817086001067095
Torneo (Baños),15,102,1.0,SAN JERONIMO,60.0,29.86,29.86,60.0,51.38857142857143
Torneo (Baños),15,107,1.0,PLAZA DUQUE,60.0,32.577777777777776,32.577777777777776,60.0,52.165079365079364
Torneo (Puerta de San Juan),16,6,0.0,SAN LAZARO,11.451612903225806,11.451612903225806,26.452830188679243,24.045454545454547,15.393764178608976
Torneo (Puerta de San Juan),16,83,0.0,BARQUETA       ,8.212962962962964,8.212962962962964,15.301470588235295,12.385416666666666,9.821671724245254
Torneo (Puerta de San Juan),16,102,1.0,SAN JERONIMO,60.0,29.82,29.82,60.0,51.37714285714286
Torneo (Puerta de San Juan),16,107,1.0,PLAZA DUQUE,60.0,32.48888888888889,32.48888888888889,60.0,52.13968253968254
Puerta de La Barqueta,17,14,0.0,PLAZA DEL DUQUE,14.675,14.675,17.108333333333334,20.84782608695652,15.904451345755692
Puerta de La Barqueta,17,107,1.0,PLAZA DUQUE,60.0,32.7,32.7,60.0,52.199999999999996
Resolana (Feria),18,2,1.0,HELIOPOLIS      ,7.507142857142857,7.507142857142857,12.535714285714285,12.556962025316457,8.946912942392148
Resolana (Feria),18,81,1.0,PRADO           ,6.922077922077921,6.922077922077921,12.85,13.621621621621621,8.726001604573032
