,route_id,direction_id,trip_headsign,shape_id,route_short_name,avgDepartureTimeDay,avgSpeedDay,avgDepartureTimeAM,avgSpeedAM,avgDepartureTimePM,avgSpeedPM
0,1,0,POLIGONO NORTE,111,01,9.153153153153152,13.628449850174746,6.666666666666667,14.263230147237598,6.916666666666667,12.318244218068829
1,1,1,HOSPITAL V.ROCIO,112,01,9.196428571428571,9.712277027678786,6.615384615384615,8.98513640736555,6.916666666666667,9.267147966186018
2,2,0,CARTUJA        ,211,02,7.0,13.799050956670268,6.307692307692308,12.171534064265504,6.0,13.08677409935385
3,2,1,HELIOPOLIS      ,212,02,6.834437086092716,15.11081415154818,5.785714285714287,14.076410973323318,5.928571428571429,13.468273088802604
4,3,0,BELLAVISTA      ,311,03,11.705882352941178,15.056108265675222,11.0,13.995839988014795,11.0,14.287990890756578
5,3,1,PINO MONTANO,312,03,11.833333333333334,14.97444567396689,11.428571428571429,14.422592093388102,11.142857142857142,14.423720640131432
6,5,0,PUERTA TRIANA,511,05,11.629213483146067,11.858413493179,10.0,11.336121418752064,10.5,11.142341565440065
7,5,1,SANTA AURELIA,512,05,11.274725274725276,12.729823157298908,9.875,12.665041545600456,10.5,11.494735336016667
8,6,0,SAN LAZARO,611,06,10.989130434782608,14.772103645806492,8.777777777777777,14.960409383171992,8.88888888888889,13.814618029237293
9,6,1,HELIOPOLIS      ,612,06,10.6875,9.58636923978622,8.666666666666666,9.026797593907418,8.88888888888889,9.163950445280364
10,10,0,PLAZA PONCE DE LEON,1011,10,10.666666666666666,14.74819856699228,8.88888888888889,13.322456665083568,8.7,14.38825319829025
11,10,1,SAN JERONIMO,1012,10,10.20388349514563,9.272325969450874,8.8,7.598439778590784,8.4,7.598439778590784
12,11,0,PLAZA PONCE DE LEON,1111,11,10.54639175257732,8.123308632992872,9.222222222222223,7.291580838324992,9.11111111111111,7.874907305390993
13,11,1,BARRIADA LOS PRINCIPES,1112,11,10.625,12.7252150497823,11.0,12.575099923062062,9.222222222222223,11.377471358960914
14,12,0,PLAZA PONCE DE LEON,1211,12,6.75796178343949,10.48842010817495,5.235294117647059,7.737002631619993,5.8,8.40017428575885
15,12,1,PINO MONTANO,1212,12,6.9391891891891895,14.781477983538442,5.25,15.31898491386453,5.857142857142858,13.206021477469422
16,13,0,PLAZA DEL  DUQUE,1311,13,9.089171974522293,12.866966269446449,5.333333333333333,9.219789686143008,5.4375,10.097864894347106
17,13,1,PINO MONTANO,1312,13,7.056737588652482,14.017408835294631,5.333333333333333,14.953249757616026,5.4375,12.729433126996208
18,14,0,PLAZA DEL DUQUE,1411,14,14.51388888888889,11.821929193734787,14.0,10.71876208550445,14.666666666666666,10.71876208550445
19,14,1,POLIGONO NORTE,1412,14,14.438356164383562,9.835207115784057,12.666666666666666,10.364512287281547,14.6,8.547451928361221
20,15,0,PLAZA PONCE DE LEON,1511,15,14.186666666666667,10.342726146480375,12.5,8.374616277702557,13.0,8.663396149347475
21,15,1,SAN DIEGO,1512,15,14.04,12.988703329478868,11.0,13.79772393441872,13.0,10.407921668707674
22,16,0,PLAZA PONCE DE LEON,1611,16,24.166666666666668,13.71027604768918,20.666666666666668,13.165705152580722,20.5,13.486819912399763
23,16,1,VALDEZORRAS ,1612,16,24.170731707317078,15.413223539939006,20.5,15.44084167533029,20.5,14.736752394270692
24,20,0,PLAZA PONCE DE LEON,2011,20,14.970588235294118,12.827404123299017,15.2,11.530801767650816,15.5,11.928415621707742
25,20,1,POLIGONO SAN PABLO,2012,20,14.7536231884058,10.303211461880297,15.2,9.512488095030967,15.4,8.93597366502909
26,21,0,PLAZA DE ARMAS,2111,21,13.289473684210526,10.961898957283172,13.0,10.778785277643678,13.666666666666666,10.312403728294596
27,21,1,POLIGONO SAN PABLO,2112,21,13.272727272727272,13.251463007608235,13.0,13.21920917938228,13.666666666666666,12.588448764518754
28,22,0,PRADO           ,2211,22,12.835443037974684,17.220809844956563,11.571428571428571,15.05210627872598,10.714285714285715,16.10119247390991
29,22,1,SEVILLA ESTE,2212,22,12.44578313253012,14.133826682085823,10.625,14.922394488039536,10.5,12.2347567265208
30,24,0,PLAZA PONCE DE LEON,2411,24,10.849462365591398,11.85779016516233,9.875,10.856401946391822,10.0,11.427791522517706
31,24,1,ROCHELAMBERT N.PALMETE,2412,24,10.333333333333334,11.850734827786573,9.0,13.119219570617144,10.0,9.736710872670152
32,25,0,PRADO           ,2511,25,14.52054794520548,13.151487771708313,16.0,9.9286782352577,12.666666666666666,10.42817925856722
33,25,1,ROCHELAMBERT ,2512,25,14.315068493150685,13.173289102317488,15.8,11.636744420706671,12.833333333333334,10.632824234374135
34,26,0,PRADO           ,2611,26,12.214285714285715,13.689995400910115,11.571428571428571,11.830266160110336,11.666666666666666,12.268424166040347
35,26,1,CERRO DEL AGUILA,2612,26,11.954022988505749,10.731211491828802,11.571428571428571,9.095100187802649,11.571428571428571,8.80170985916385
36,27,0,PLAZA DEL DUQUE,2711,27,8.357723577235772,12.560667800698967,6.285714285714287,11.52369536161686,6.461538461538462,12.003849335017556
37,27,1,SEVILLA ESTE,2712,27,7.820895522388059,15.341281001128182,5.866666666666666,15.258094778670351,6.461538461538462,12.745252401736982
38,28,0,PRADO           ,2811,28,8.793388429752067,19.37788040121241,6.666666666666667,17.54857117007858,6.833333333333333,18.55134666551164
39,28,1,PARQUE ALCOSA,2812,28,8.218045112781954,12.482332371309337,5.7142857142857135,13.03624123705896,6.846153846153846,9.782168577353673
40,29,0,PRADO           ,2911,29,11.048387096774194,20.397253132334058,6.384615384615385,19.95940800728648,6.75,19.466386773640355
41,29,1,TORREBLANCA      ,2912,29,11.023622047244094,13.133117452147628,6.461538461538462,12.195803433532587,6.833333333333333,12.012910233615544
42,30,0,PRADO,3011,30,17.016666666666666,12.132188443738976,17.0,11.063790793785577,17.4,11.985773359934372
43,30,1,LAS LETANIAS,3012,30,16.619047619047617,11.776825942902937,17.0,10.539806576383745,17.25,9.410541586056915
44,31,0,PRADO,3111,31,17.516666666666666,10.24010246213142,16.0,8.25688575051315,16.2,8.474172217631919
45,31,1,BARRIADA MURILLO,3112,31,17.775862068965516,15.931214455108943,16.0,15.798358284386888,16.2,14.62810952258045
46,32,0,PLAZA DEL DUQUE,3211,32,8.457627118644067,12.482247998795543,7.0,12.054053060779182,7.25,12.054053060779182
47,32,1,POLIGONO SUR,3212,32,7.938461538461539,12.038095428432618,5.666666666666667,15.051461606893335,7.25,9.227718236296123
48,34,0,PRADO           ,3411,34,13.542857142857144,15.080593306306358,9.333333333333334,12.636954067354043,9.222222222222223,12.636954067354043
49,34,1,LOS BERMEJALES,3412,34,9.951923076923077,13.84971104513325,9.444444444444445,12.207405420186843,9.222222222222223,12.588886839567682
50,35,1,PALMAS ALTAS,3512,35,54.333333333333336,17.556184115049696,,17.556184115049696,54.0,17.556184115049696
51,37,0,PUERTA JEREZ,3711,37,9.76923076923077,13.973970585415689,8.2,13.279981854696178,8.2,13.30622687812443
52,37,1,BELLAVISTA      ,3712,37,9.733333333333333,15.658955183783863,8.222222222222221,14.946964554133135,8.3,14.701377867736028
53,38,0,PRADO           ,3811,38,46.578947368421055,15.103793582997644,21.75,15.103793582997644,23.33333333333333,15.103793582997646
54,38,1,UNIVERSIDAD P.OLAVIDE,3812,38,52.29411764705882,11.524335228211331,23.33333333333333,11.195576243289343,18.0,11.195576243289343
55,39,0,LOS ARCOS       ,3911,39,31.451612903225804,21.221910336276515,27.5,21.221910336276515,25.0,21.221910336276515
56,39,1,HACIENDA SAN ANTONIO,3912,39,30.83333333333333,18.98512405694568,27.5,17.15231608787806,25.0,19.296355598862817
57,40,0,REYES CATOLICOS,4011,40,16.793650793650794,12.092461645195478,14.0,10.819627180608464,15.0,10.349208607538529
58,40,1,EL TARDON        ,4012,40,16.650793650793652,9.927531222372473,14.0,9.622076252166378,15.0,8.747342047423977
59,41,0,REYES CATOLICOS,4111,41,16.78688524590164,16.43614747814997,14.666666666666666,15.27412324922437,15.2,15.274123249224369
60,41,1,TABLADA          ,4112,41,16.78688524590164,10.890355644096198,15.4,10.548214027817156,15.4,9.90892832916157
61,43,0,SAN PABLO      ,4311,43,14.458333333333334,12.300870852652006,14.4,11.340820245552244,14.4,11.340820245552244
62,43,1,BARRIADA EL TARDON,4312,43,14.410958904109588,10.0112235616213,14.2,9.38107473767989,14.4,9.38107473767989
