Nombre de la parada,Código de parada,Tiempo medio laborables,Tiempo medio Viernes,Tiempo medio Sábado,Tiempo medio Domingos,% incremento sábados,% incremento domingos
Campana (Sierpes),1,8.264010697849761,8.264010697849761,9.162997147775341,12.844155844155843,10.878331149298859,55.422788204979014
Menéndez Pelayo (Puerta Carmona),2,11.013344958230455,11.416945623050792,18.618759724379192,17.00864062851615,69.05635658370153,54.43664656853695
Menéndez Pelayo (Puerta de La Carne),3,10.569357148184205,10.826993209390201,18.069714070111264,16.377407402464918,70.96322715535833,54.9517834703743
Menéndez Pelayo (Juzgados),4,15.58613791713607,15.931431930765278,20.212818088457627,21.33773322194375,29.684583800806653,36.90199159911276
Avda. María Luisa (Teatro Lope de Vega),5,8.950533725247524,9.292929039418516,15.76423915402574,17.707885835198933,76.12624719303858,97.84167490759583
Plaza del Duque (La Campana),7,8.391666666666666,8.391666666666666,11.4189914540526,14.406008677152954,36.07536985961393,71.67041124710573
Calatrava (Alameda de Hércules),8,10.359862705917669,13.145968799753943,16.552025147137506,18.505606096408318,59.77069983449497,78.6279087061425
Plaza Ponce de León,9,8.458333333333334,8.458333333333334,11.47777777777778,14.477611940298509,35.697865353037784,71.16388500845528
Pagés del Corro (Troya),10,8.196428571428571,8.196428571428571,15.237009803921572,12.367083333333333,85.89815882780132,50.883805374001454
San Jorge (Altozano),12,14.614285714285716,14.614285714285716,14.797101449275365,16.271186440677965,1.2509385580914412,11.337541627317439
Castilla (Procurador),13,14.607142857142858,14.607142857142858,14.797101449275365,16.271186440677965,1.3004500194890412,11.391985412954275
Navarra (Larache),14,11.955555555555556,11.955555555555556,19.5925925925926,22.94341085271318,63.8785625774474,91.90585285726635
Torneo (Baños),15,10.69767228098193,11.250452006449073,19.101716555507597,17.669899276859503,78.55956000321844,65.17517841963279
Torneo (Puerta de San Juan),16,10.92289827841199,11.456226438381861,21.7858554837903,18.52472882231405,99.4512347226363,69.5953615069941
Puerta de La Barqueta,17,16.5125,17.09298780487805,19.49039351851852,23.19695652173913,18.034177250679907,40.481190139222576
Resolana (Feria),18,7.781930340232272,7.975534778504702,14.099033446712019,13.424910391828192,81.17655684760598,72.51388543562176
Parlamento de Andalucía (Macarena),19,7.3748116753033885,7.3748116753033885,13.850625763125763,12.974337318087318,87.80989092248201,75.92771028357919
Ronda de Capuchinos (San Julián),20,8.445009214508515,8.445009214508515,14.924361999362,14.315653504200784,76.72404636009118,69.5161383554977
Ronda de Capuchinos (La Trinidad),21,9.392925625501247,9.392925625501247,17.33749098423228,16.35492390663466,84.58030730235953,74.11959339092382
María Auxiliadora (Puerta Osario),22,8.987141330891331,8.987141330891331,16.53474141100293,14.66720505151213,83.98221194283855,63.20211857686964
