Identificador de ruta;Sentido;Destino;Identificador de forma;Nombre de la ruta;% Reducción tiempo AM;% Reducción tiempo PM;% Incremento de Velocidad AM;% Incremento de Velocidad PM;% Mejora del Servicio AM;% Mejora del Servicio PM
1;0;POLIGONO NORTE;111;1;37.2972973;32.33474438;4.657758616;-9.613753923;41.95505591;22.72099046
1;1;HOSPITAL V.ROCIO;112;1;39.01578073;32.96041308;-7.48681919;-4.583158617;31.52896154;28.37725446
2;0;CARTUJA        ;211;2;10.97560976;16.66666667;-11.79441179;-5.161781484;-0.81880203;11.50488518
2;1;HELIOPOLIS      ;212;2;18.12607309;15.27966169;-6.845449675;-10.86997065;11.28062342;4.409691046
3;0;BELLAVISTA      ;311;3;6.417112299;6.417112299;-7.042113798;-5.101699333;-0.625001499;1.315412967
3;1;PINO MONTANO;312;3;3.541666667;6.196581197;-3.685302232;-3.677765747;-0.143635565;2.518815449
5;0;PUERTA TRIANA;511;5;16.29213483;10.75441413;-4.404400932;-6.038513737;11.8877339;4.715900389
5;1;SANTA AURELIA;512;5;14.17443316;7.37833595;-0.508896399;-9.702317197;13.66553676;-2.323981247
6;0;SAN LAZARO;611;6;25.19262521;23.62771739;1.274738804;-6.481714721;26.46736401;17.14600267
6;1;HELIOPOLIS      ;612;6;23.31730769;20.234375;-5.837159324;-4.406452369;17.48014837;15.82792263
10;0;PLAZA PONCE DE LEON;1011;10;20;22.60536398;-9.667227461;-2.440605658;10.33277254;20.16475833
10;1;SAN JERONIMO;1012;10;15.95322154;21.47480351;-18.0524951;-18.0524951;-2.09927356;3.422308418
11;0;PLAZA PONCE DE LEON;1111;11;14.35846479;15.75308021;-10.23878117;-3.057883663;4.119683617;12.69519655
11;1;BARRIADA LOS PRINCIPES;1112;11;-3.409090909;15.21084337;-1.179666718;-10.59112703;-4.588757627;4.619716343
12;0;PLAZA PONCE DE LEON;1211;12;29.08466328;16.51658247;-26.23290685;-19.91001315;2.851756434;-3.393430674
12;1;PINO MONTANO;1212;12;32.17503218;18.47396177;3.636354436;-10.65831514;35.81138661;7.815646625
13;0;PLAZA DEL  DUQUE;1311;13;70.42197452;67.15718574;-28.34527197;-21.52101216;42.07670255;45.63617358
13;1;PINO MONTANO;1312;13;32.31382979;29.77908209;6.676276146;-9.18840082;38.99010593;20.59068127
14;0;PLAZA DEL DUQUE;1411;14;3.670634921;-1.041666667;-9.331532021;-9.331532021;-5.660897101;-10.37319869
14;1;POLIGONO NORTE;1412;14;13.98702235;-1.107149559;5.381738943;-13.09332048;19.36876129;-14.20047004
15;0;PLAZA PONCE DE LEON;1511;15;13.49333333;9.128205128;-19.02892759;-16.23682164;-5.535594252;-7.108616512
15;1;SAN DIEGO;1512;15;27.63636364;8;6.22864796;-19.86943265;33.8650116;-11.86943265
16;0;PLAZA PONCE DE LEON;1611;16;16.93548387;17.88617886;-3.97199074;-1.629844173;12.96349313;16.25633469
16;1;VALDEZORRAS ;1612;16;17.90600833;17.90600833;0.179184681;-4.388901153;18.08519301;13.51710718
20;0;PLAZA PONCE DE LEON;2011;20;-1.509287926;-3.415559772;-10.10806507;-7.008343176;-11.617353;-10.42390295
20;1;POLIGONO SAN PABLO;2012;20;-2.93668955;-4.197252023;-7.674533031;-13.27001588;-10.61122258;-17.4672679
21;0;PLAZA DE ARMAS;2111;21;2.226720648;-2.759948652;-1.670455825;-5.925024775;0.556264823;-8.684973427
21;1;POLIGONO SAN PABLO;2112;21;2.097902098;-2.88248337;-0.243398244;-5.003328634;1.854503854;-7.885812004
22;0;PRADO           ;2211;22;10.92358181;19.79746835;-12.5935051;-6.501537275;-1.669923291;13.29593108
22;1;SEVILLA ESTE;2212;22;17.13678242;18.53126793;5.579294438;-13.4363467;22.71607686;5.094921225
24;0;PLAZA PONCE DE LEON;2411;24;9.867973322;8.494623656;-8.444981778;-3.626296609;1.422991544;4.868327047
24;1;ROCHELAMBERT N.PALMETE;2412;24;14.81481481;3.333333333;10.70384884;-17.8387584;25.51866366;-14.50542507
25;0;PRADO           ;2511;25;-9.246575342;14.63590483;-24.50528482;-20.70722766;-33.75186016;-6.071322826
25;1;ROCHELAMBERT ;2512;25;-9.398300676;11.54598826;-11.66409292;-19.28497013;-21.0623936;-7.738981867
26;0;PRADO           ;2611;26;5.555555556;4.693877551;-13.58458631;-10.38401543;-8.029030752;-5.69013788
26;1;CERRO DEL AGUILA;2612;26;3.306371506;3.306371506;-15.24628701;-17.98027775;-11.93991551;-14.67390625
27;0;PLAZA DEL DUQUE;2711;27;32.96378418;29.34572203;-8.255711046;-4.43303234;24.70807314;24.91268969
27;1;SEVILLA ESTE;2712;27;33.31071913;21.0376688;-0.542237786;-16.92185026;32.76848135;4.115818536
28;0;PRADO           ;2811;28;31.90082645;28.68373312;-9.440192597;-4.26534646;22.46063385;24.41838666
28;1;PARQUE ALCOSA;2812;28;43.81578947;20.0388612;4.437542995;-21.63188508;48.25333247;-1.593023883
29;0;PRADO           ;2911;29;73.04702682;63.67980884;-2.146588672;-4.563684888;70.90043815;59.11612395
29;1;TORREBLANCA      ;2912;29;70.60367454;61.32129825;-7.137026087;-8.529636795;63.46664845;52.79166146
