Identificador de ruta,Sentido,Destino,Identificador de forma,Nombre de la ruta,Inicio del servicio,Final del servicio,Tiempo medio entre salidas [min],Duración media del servicio [min],Número de paradas,Velocidad media [km/h]
1,0,POLIGONO NORTE,111,01,07:17:00,23:15:00,16.517241379310345,37.15254237288135,21.0,14.665865900950399
1,1,HOSPITAL V.ROCIO,112,01,07:04:00,23:15:00,17.035087719298243,38.6551724137931,24.982758620689655,11.069825874844813
2,0,CARTUJA        ,211,02,06:46:00,22:54:00,11.950617283950617,55.46341463414635,32.26829268292683,15.764093168410524
2,1,HELIOPOLIS      ,212,02,06:51:00,23:02:00,11.841463414634147,55.57831325301205,30.85542168674699,16.243764084935393
3,0,BELLAVISTA      ,311,03,07:00:00,22:34:00,23.35,72.87804878048779,30.0,16.33854494275087
3,1,PINO MONTANO,312,03,07:01:00,22:33:00,22.731707317073173,71.16666666666666,29.0,16.556119268226542
5,0,PUERTA TRIANA,511,05,07:00:00,23:17:00,17.763636363636362,43.714285714285715,28.0,13.267334527978562
5,1,SANTA AURELIA,512,05,07:13:00,23:04:00,17.61111111111111,41.23636363636363,24.0,14.791796940226197
6,0,SAN LAZARO,611,06,07:24:00,23:11:00,22.023255813953487,42.68181818181817,28.0,16.533654324953876
6,1,HELIOPOLIS      ,612,06,07:05:00,23:05:00,21.818181818181817,54.40000000000002,32.91111111111111,10.844002519030836
10,0,PLAZA PONCE DE LEON,1011,10,07:08:00,23:12:00,15.0625,19.953846153846154,12.0,18.093308486602407
10,1,SAN JERONIMO,1012,10,07:00:00,23:29:00,14.544117647058822,25.826086956521742,19.47826086956522,10.968441471424901
11,0,PLAZA PONCE DE LEON,1111,11,07:03:00,23:05:00,19.63265306122449,19.94,11.0,9.922386195188073
11,1,BARRIADA LOS PRINCIPES,1112,11,07:21:00,23:23:00,19.63265306122449,16.56,10.0,14.494842739397773
12,0,PLAZA PONCE DE LEON,1211,12,07:04:00,23:50:00,15.242424242424242,30.582089552238806,20.16417910447761,11.568009643681323
12,1,PINO MONTANO,1212,12,07:08:00,23:29:00,15.571428571428573,22.875,16.0,16.819574797337935
13,0,PLAZA DEL  DUQUE,1311,13,00:06:00,23:34:00,19.287671232876715,35.06756756756756,24.054054054054053,14.509687533763572
13,1,PINO MONTANO,1312,13,07:11:00,23:19:00,15.125,32.30769230769231,22.0,15.766108738906583
14,0,PLAZA DEL DUQUE,1411,14,07:09:00,23:41:00,20.666666666666668,18.20408163265306,10.83673469387755,12.941165262079439
14,1,POLIGONO NORTE,1412,14,07:00:00,23:24:00,20.5,18.26530612244898,11.795918367346939,11.041971645131776
15,0,PLAZA PONCE DE LEON,1511,15,07:07:00,23:43:00,20.3265306122449,21.28,12.76,12.779412239773269
15,1,SAN DIEGO,1512,15,07:00:00,23:27:00,20.142857142857146,16.999999999999996,12.72,14.669479694673319
16,0,PLAZA PONCE DE LEON,1611,16,07:00:00,23:20:00,70.0,35.0,18.0,15.79884618309686
16,1,VALDEZORRAS ,1612,16,07:35:00,22:45:00,70.0,34.99999999999999,17.0,17.646676200377474
20,0,PLAZA PONCE DE LEON,2011,20,07:05:00,23:07:00,19.63265306122449,23.52,15.0,14.762714266485009
20,1,POLIGONO SAN PABLO,2012,20,07:26:00,23:28:00,18.862745098039216,25.07692307692307,18.46153846153846,12.913280507773353
21,0,PLAZA DE ARMAS,2111,21,07:04:00,22:59:00,16.75438596491228,38.206896551724135,21.0,11.610225028300139
21,1,POLIGONO SAN PABLO,2112,21,07:16:00,23:17:00,16.859649122807017,35.724137931034484,20.0,13.742947314249555
22,0,PRADO           ,2211,22,07:08:00,22:56:00,19.75,38.48979591836734,27.0,18.858162217619707
22,1,SEVILLA ESTE,2212,22,07:14:00,23:04:00,19.0,39.96078431372548,26.274509803921568,15.511941144382664
24,0,PLAZA PONCE DE LEON,2411,24,07:08:00,23:04:00,18.745098039215687,32.3076923076923,22.0,13.507257262256712
24,1,ROCHELAMBERT N.PALMETE,2412,24,07:37:00,23:03:00,18.156862745098042,32.59615384615385,22.692307692307693,13.003425581676634
25,0,PRADO           ,2511,25,07:08:00,23:49:00,16.966101694915253,24.066666666666663,14.7,15.604911164189575
25,1,ROCHELAMBERT ,2512,25,07:00:00,23:27:00,16.728813559322035,23.633333333333333,14.766666666666667,14.615681465025713
26,0,PRADO           ,2611,26,07:08:00,23:07:00,15.467741935483872,20.428571428571434,11.0,16.286959020427034
26,1,CERRO DEL AGUILA,2612,26,07:00:00,23:25:00,15.153846153846155,23.530303030303028,12.848484848484848,12.06154664740415
27,0,PLAZA DEL DUQUE,2711,27,06:42:00,22:53:00,12.61038961038961,39.46153846153847,26.58974358974359,14.896501114841886
27,1,SEVILLA ESTE,2712,27,06:41:00,23:11:00,11.785714285714285,37.635294117647064,27.96470588235294,17.280727627545236
28,0,PRADO           ,2811,28,06:13:00,23:06:00,19.862745098039216,28.153846153846153,15.0,23.117551612144204
28,1,PARQUE ALCOSA,2812,28,06:00:00,23:11:00,18.745454545454546,35.785714285714285,22.285714285714285,13.778647616753391
29,0,PRADO           ,2911,29,00:30:00,23:05:00,30.795454545454547,26.22222222222222,19.0,26.039111515805693
29,1,TORREBLANCA      ,2912,29,00:00:00,23:00:00,31.363636363636363,35.93333333333333,25.0,14.44021044689035
30,0,PRADO,3011,30,07:07:00,23:11:00,21.42222222222222,20.695652173913043,13.0,13.948720247863477
30,1,LAS LETANIAS,3012,30,07:00:00,23:30:00,21.06382978723404,21.499999999999993,14.666666666666666,13.03615486198315
31,0,PRADO,3111,31,07:03:00,23:01:00,22.80952380952381,33.651162790697676,19.697674418604652,10.155855108118732
31,1,BARRIADA MURILLO,3112,31,07:09:00,23:31:00,22.83720930232558,21.136363636363633,17.0,18.727806967072997
32,0,PLAZA DEL DUQUE,3211,32,07:09:00,22:56:00,14.348484848484848,37.014925373134325,21.0,14.744751493781472
32,1,POLIGONO SUR,3212,32,07:19:00,23:11:00,13.6,38.239436619718305,26.04225352112676,13.055331359870488
34,0,PRADO           ,3411,34,07:09:00,23:50:00,20.42857142857143,26.379999999999995,19.04,17.50822765848749
34,1,LOS BERMEJALES,3412,34,07:00:00,23:24:00,20.081632653061224,26.06,17.34,16.457955474711493
37,0,PUERTA JEREZ,3711,37,07:00:00,22:53:00,17.017857142857142,38.54385964912281,30.0,16.224155325741982
37,1,BELLAVISTA      ,3712,37,07:13:00,23:11:00,17.107142857142854,36.59649122807017,28.0,17.601447262823488
39,0,LOS ARCOS       ,3911,39,07:00:00,23:00:00,34.28571428571429,18.103448275862068,16.0,29.881425473492808
39,1,HACIENDA SAN ANTONIO,3912,39,07:15:00,23:15:00,34.28571428571429,15.0,17.0,32.16059266477136
40,0,REYES CATOLICOS,4011,40,07:07:00,23:48:00,16.683333333333334,16.016393442622952,9.868852459016393,15.47465373478923
40,1,EL TARDON        ,4012,40,07:00:00,23:31:00,16.516666666666666,16.836065573770494,10.918032786885245,11.621281270410492
41,0,REYES CATOLICOS,4111,41,07:00:00,23:15:00,23.780487804878046,22.04761904761905,14.0,19.463414980353782
41,1,TABLADA          ,4112,41,07:20:00,23:35:00,23.780487804878046,25.38095238095238,19.952380952380953,12.98940869732049
43,0,SAN PABLO      ,4311,43,07:10:00,23:44:00,16.032258064516128,18.031746031746035,11.80952380952381,13.56768022367894
43,1,BARRIADA EL TARDON,4312,43,07:00:00,23:26:00,15.903225806451614,18.15873015873016,12.80952380952381,11.553826123063777
52,0,SAN BERNARDO,5211,52,07:08:00,23:30:00,22.318181818181817,31.777777777777768,22.42222222222222,15.004269141043597
52,1,BARRIADA PALMETE,5212,52,07:39:00,23:30:00,22.11627906976744,29.136363636363626,23.681818181818183,15.936543284604733
53,0,LOS ARCOS      ,5311,53,08:00:00,21:00:00,97.5,25.0,7.0,31.45145446874006
53,1,CENTRO PENITENCIARIO,5312,53,07:30:00,20:30:00,97.5,25.0,7.0,27.04881214924591
60,0,PLAZA NUEVA,6011,T1,07:00:00,23:12:00,10.451612903225806,11.999999999999996,6.0,11.648452196409051
