Identificador de ruta,Sentido,Destino,Identificador de forma,Nombre de la ruta,Inicio del servicio,Final del servicio,Tiempo medio entre salidas [min],Duración media del servicio [min],Número de paradas,Velocidad media [km/h]
1,0,POLIGONO NORTE,111,01,06:06:00,23:11:00,19.71153846153846,39.132075471698116,21.0,13.939079764719029
1,1,HOSPITAL V.ROCIO,112,01,06:05:00,23:12:00,19.37735849056604,40.35185185185186,24.98148148148148,10.635908104354371
2,0,CARTUJA        ,211,02,05:46:00,23:02:00,11.908045977011493,59.74999999999999,32.45454545454545,14.706386279467438
2,1,HELIOPOLIS      ,212,02,05:52:00,23:02:00,11.704545454545455,57.08988764044945,30.719101123595507,16.11087561415304
3,0,BELLAVISTA      ,311,03,06:00:00,22:47:00,19.365384615384617,71.30188679245283,30.0,16.708949102360126
3,1,PINO MONTANO,312,03,06:00:00,22:37:00,19.54901960784314,71.92307692307692,29.0,16.402335986501047
5,0,PUERTA TRIANA,511,05,06:01:00,23:17:00,17.266666666666666,46.47540983606559,28.0,12.538032426113821
5,1,SANTA AURELIA,512,05,06:00:00,23:07:00,17.40677966101695,46.03333333333333,24.0,13.29924527509069
6,0,SAN LAZARO,611,06,06:10:00,23:05:00,19.51923076923077,43.9811320754717,28.0,16.125233788777198
6,1,HELIOPOLIS      ,612,06,06:05:00,23:10:00,19.71153846153846,57.056603773584904,32.886792452830186,10.364589938147812
10,0,PLAZA PONCE DE LEON,1011,10,06:07:00,23:14:00,13.878378378378379,20.98666666666667,12.0,17.231074377553426
10,1,SAN JERONIMO,1012,10,06:00:00,23:32:00,13.316455696202532,26.487500000000004,19.25,11.134865977570225
11,0,PLAZA PONCE DE LEON,1111,11,06:03:00,23:12:00,16.868852459016395,22.12903225806451,10.903225806451612,9.225142872330567
11,1,BARRIADA LOS PRINCIPES,1112,11,06:22:00,23:32:00,17.166666666666668,18.540983606557376,10.0,12.940728397601005
12,0,PLAZA PONCE DE LEON,1211,12,06:04:00,23:45:00,10.826530612244898,32.13131313131312,20.151515151515152,11.105159119162817
12,1,PINO MONTANO,1212,12,06:33:00,23:32:00,11.07608695652174,24.79569892473118,16.0,15.538660231243442
13,0,PLAZA DEL  DUQUE,1311,13,00:01:00,23:47:00,12.293103448275863,37.880341880341895,24.495726495726494,12.83128855837518
13,1,PINO MONTANO,1312,13,06:41:00,23:13:00,9.538461538461538,34.06666666666666,22.0,14.965748064633742
14,0,PLAZA DEL DUQUE,1411,14,06:09:00,23:33:00,16.838709677419356,18.476190476190474,10.873015873015873,12.651368216204315
14,1,POLIGONO NORTE,1412,14,06:00:00,23:32:00,16.6984126984127,20.65625,11.765625,9.92499583061548
15,0,PLAZA PONCE DE LEON,1511,15,06:06:00,23:43:00,15.1,24.549295774647877,12.746478873239436,10.930899382109244
15,1,SAN DIEGO,1512,15,06:00:00,23:25:00,14.928571428571427,17.070422535211268,12.704225352112676,14.832839982839578
16,0,PLAZA PONCE DE LEON,1611,16,00:30:00,23:10:00,50.37037037037037,36.25,18.0,15.469703554282349
16,1,VALDEZORRAS ,1612,16,00:00:00,22:40:00,50.37037037037037,36.07142857142857,17.0,17.384076852157573
20,0,PLAZA PONCE DE LEON,2011,20,06:05:00,23:11:00,17.1,25.114754098360653,15.0,13.850739692082076
20,1,POLIGONO SAN PABLO,2012,20,06:26:00,23:08:00,16.426229508196723,27.241935483870957,18.548387096774192,11.847977154619006
21,0,PLAZA DE ARMAS,2111,21,06:04:00,22:56:00,15.569230769230769,37.969696969696976,21.0,11.725934812610914
21,1,POLIGONO SAN PABLO,2112,21,06:34:00,23:13:00,15.36923076923077,36.10606060606061,20.0,13.61072473252239
22,0,PRADO           ,2211,22,06:00:00,22:48:00,19.0188679245283,39.5925925925926,26.72222222222222,18.611847992843487
22,1,SEVILLA ESTE,2212,22,06:14:00,23:04:00,18.035714285714285,41.64912280701755,26.140350877192983,15.250091603312168
24,0,PLAZA PONCE DE LEON,2411,24,06:08:00,23:03:00,14.097222222222223,33.38356164383561,22.0,13.086351922720315
24,1,ROCHELAMBERT N.PALMETE,2412,24,06:35:00,23:11:00,13.28,35.01315789473685,22.157894736842106,12.867315359442506
25,0,PRADO           ,2511,25,06:08:00,23:31:00,17.982758620689655,28.627118644067796,14.694915254237289,13.148521005327794
25,1,ROCHELAMBERT ,2512,25,06:00:00,23:31:00,17.813559322033896,26.666666666666668,14.533333333333333,13.648038077357171
26,0,PRADO           ,2611,26,06:10:00,23:08:00,16.158730158730158,23.515625,11.0,14.143548845533822
26,1,CERRO DEL AGUILA,2612,26,06:00:00,23:28:00,15.641791044776118,27.20588235294118,12.705882352941176,10.668588182701612
27,0,PLAZA DEL DUQUE,2711,27,05:54:00,22:52:00,9.008849557522124,43.8421052631579,26.43859649122807,13.51278412820017
27,1,SEVILLA ESTE,2712,27,05:41:00,23:09:00,8.733333333333333,40.00000000000001,28.181818181818183,16.39882030449474
28,0,PRADO           ,2811,28,05:14:00,23:05:00,15.3,30.408450704225356,15.0,21.442061796524207
28,1,PARQUE ALCOSA,2812,28,05:00:00,23:11:00,14.546666666666665,37.82894736842105,22.342105263157894,12.991612081856768
29,0,PRADO           ,2911,29,00:00:00,23:00:00,20.294117647058826,28.26086956521739,19.0,24.18372567518749
29,1,TORREBLANCA      ,2912,29,00:00:00,23:00:00,20.597014925373134,36.16176470588235,24.86764705882353,14.52476361614665
30,0,PRADO,3011,30,06:07:00,23:12:00,15.298507462686567,22.676470588235297,13.0,12.743879449394122
30,1,LAS LETANIAS,3012,30,06:00:00,23:33:00,15.042857142857143,21.478873239436627,14.661971830985916,13.000728305305287
31,0,PRADO,3111,31,06:03:00,23:35:00,19.12727272727273,33.87500000000001,19.535714285714285,10.563586519221863
31,1,BARRIADA MURILLO,3112,31,06:35:00,23:33:00,19.20754716981132,21.203703703703695,17.0,18.65608896288909
32,0,PLAZA DEL DUQUE,3211,32,06:11:00,22:59:00,11.325842696629215,40.900000000000006,21.0,13.375290210745435
32,1,POLIGONO SUR,3212,32,06:00:00,23:20:00,10.4,37.81188118811881,25.14851485148515,14.35689640555961
34,0,PRADO           ,3411,34,06:11:00,23:06:00,16.916666666666668,24.950819672131143,20.0,16.801705610931954
34,1,LOS BERMEJALES,3412,34,06:00:00,23:11:00,16.109375,31.553846153846152,17.153846153846153,13.904142488784531
35,0,PRADO           ,3511,35,09:22:00,23:30:00,26.5,28.0,5.0,12.682412117629012
35,1,PALMAS ALTAS,3512,35,09:00:00,23:10:00,26.5625,21.939393939393934,5.0,19.210237825062645
37,0,PUERTA JEREZ,3711,37,06:00:00,22:49:00,14.211267605633802,40.69444444444445,30.0,15.431878055472108
37,1,BELLAVISTA      ,3712,37,06:17:00,23:11:00,14.28169014084507,37.777777777777786,28.0,17.073740644542163
39,0,LOS ARCOS       ,3911,39,07:00:00,23:00:00,30.96774193548387,15.0,16.0,35.36985056046086
39,1,HACIENDA SAN ANTONIO,3912,39,07:15:00,23:15:00,30.96774193548387,15.0,17.0,32.160592664771364
40,0,REYES CATOLICOS,4011,40,06:07:00,23:43:00,16.246153846153845,17.3030303030303,9.818181818181818,14.539189722681556
40,1,EL TARDON        ,4012,40,06:00:00,23:25:00,16.076923076923077,18.0,10.848484848484848,11.043993978516724
41,0,REYES CATOLICOS,4111,41,06:00:00,23:08:00,17.423728813559322,23.500000000000004,14.0,18.506738957906485
41,1,TABLADA          ,4112,41,06:19:00,23:29:00,17.457627118644066,28.65,19.95,11.538608791505363
43,0,SAN PABLO      ,4311,43,06:12:00,23:33:00,14.661971830985916,20.875,11.88888888888889,11.581144445621081
43,1,BARRIADA EL TARDON,4312,43,06:00:00,23:32:00,14.61111111111111,20.93150684931507,12.89041095890411,10.005465884514232
52,0,SAN BERNARDO,5211,52,00:07:00,23:45:00,27.80392156862745,34.461538461538474,22.0,14.212320806449632
52,1,BARRIADA PALMETE,5212,52,06:41:00,23:13:00,20.666666666666668,32.38775510204082,23.428571428571427,14.707283141207427
53,0,LOS ARCOS      ,5311,53,08:00:00,20:15:00,105.0,25.0,7.0,31.45145446874006
53,1,CENTRO PENITENCIARIO,5312,53,07:30:00,19:45:00,105.0,25.0,7.0,27.04881214924591
60,0,PLAZA NUEVA,6011,T1,06:00:00,23:19:00,10.60204081632653,11.999999999999998,6.0,11.648452196409048
60,1,SAN BERNARDO,6012,T1,06:14:00,23:33:00,10.711340206185566,12.642857142857139,6.0,10.8376383713431
71,0,EXPRES PRADO,7111,LE,09:00:00,21:20:00,19.473684210526315,35.97435897435899,10.0,17.055824575742058
71,1,EXPRES SEV. ESTE,7112,LE,09:12:00,22:00:00,19.69230769230769,33.15,10.9,17.631448705859732
72,0,PRADO           ,7211,LN,09:00:00,21:22:00,17.666666666666668,36.04651162790699,12.0,13.399422415891173
72,1,PINO MONTANO,7212,LN,09:19:00,22:00:00,17.697674418604652,34.61363636363636,11.0,13.014602544993688
81,0,CARTUJA         ,8111,C1,06:03:00,23:30:00,12.76829268292683,28.397590361445793,19.0,16.12512508793857
81,1,PRADO           ,8112,C1,06:00:00,23:20:00,12.839506172839505,35.00000000000001,18.0,11.468331106957773
82,0,CARTUJA         ,8211,C2,05:52:00,23:19:00,13.96,38.17105263157895,18.80263157894737,10.213228524285432
82,1,PRADO           ,8212,C2,06:13:00,23:29:00,14.191780821917808,30.02702702702703,19.0,15.827172158245428
83,0,BARQUETA       ,8311,C3,06:13:00,23:28:00,15.220588235294118,24.144927536231872,15.0,8.562435117776815
83,1,PRADO           ,8312,C3,06:00:00,23:32:00,15.028571428571428,17.267605633802813,10.0,17.78100119922946
84,0,PLAZA DE ARMAS,8411,C4,06:00:00,23:29:00,14.175675675675675,25.653333333333332,16.0,6.308177554251134
84,1,PRADO           ,8412,C4,06:20:00,23:34:00,14.164383561643834,14.540540540540539,7.0,21.25445350354863
87,0,NERVION            ,8711,B3,06:06:00,22:58:00,46.0,23.130434782608692,18.0,13.076618154712586
87,1,SANTA CLARA,8712,B3,06:29:00,23:20:00,45.95454545454546,22.434782608695656,17.0,13.549231244971573
100,0,PLAZA DE ARMAS,10011,EA,00:25:00,22:40:00,17.565789473684212,45.89610389610389,11.0,21.300856590448344
100,1,AEROPUERTO       ,10012,EA,00:05:00,22:55:00,18.513513513513512,52.57333333333334,11.0,16.0654428422703
101,0,ESTACION PRADO,10111,A1,00:15:00,05:35:00,29.09090909090909,31.666666666666675,28.0,11.89468608537271
101,1,PINO MONTANO,10112,A1,00:00:00,05:00:00,27.27272727272727,36.5,18.083333333333332,18.32876479967297
102,0,ESTACION PRADO,10211,A2,00:15:00,05:35:00,29.09090909090909,31.666666666666675,20.0,17.753761069567407
102,1,SAN JERONIMO,10212,A2,00:00:00,05:00:00,30.0,38.636363636363626,27.0,13.094966032919741
103,0,ESTACION PRADO,10311,A3,00:15:00,05:35:00,29.09090909090909,31.666666666666675,16.0,24.04130191262638
103,1,SEVILLA ESTE,10312,A3,00:00:00,05:00:00,30.0,38.636363636363626,34.0,12.375751974646754
104,0,ESTACION PRADO,10411,A4,00:25:00,05:20:00,32.77777777777778,42.2,32.0,7.362790031531391
104,1,SANTA AURELIA,10412,A4,00:00:00,05:00:00,33.333333333333336,21.6,13.0,34.93118268128328
105,0,ESTACION PRADO,10511,A5,00:05:00,05:35:00,33.0,27.818181818181827,15.0,18.074081748795102
105,1,POLIGONO SUR,10512,A5,00:00:00,05:00:00,33.333333333333336,36.6,21.0,7.157797634203186
106,0,ESTACION PRADO,10611,A6,00:03:00,05:23:00,24.615384615384617,37.000000000000014,24.0,14.35306438935134
106,1,BELLAVISTA      ,10612,A6,00:00:00,05:00:00,25.0,22.999999999999996,24.0,26.678655995323485
107,0,ESTACION PRADO,10711,A7,00:05:00,05:30:00,32.5,31.454545454545457,9.0,14.624289249471252
107,1,PLAZA DUQUE,10712,A7,00:00:00,05:00:00,33.333333333333336,33.1,21.0,7.399974205360121
108,0,EL GORDILLO       ,10811,C6A,08:00:00,22:35:00,79.54545454545455,30.0,12.0,31.247613754216108
